"job_title_short","skills","occurrence_count"
"Business Analyst","sql","17372"
"Business Analyst","excel","17134"
"Business Analyst","tableau","9324"
"Business Analyst","power bi","9251"
"Business Analyst","python","8097"
"Cloud Engineer","python","3126"
"Cloud Engineer","aws","3081"
"Cloud Engineer","azure","2951"
"Cloud Engineer","sql","2229"
"Cloud Engineer","linux","1637"
"Data Analyst","sql","92628"
"Data Analyst","excel","67031"
"Data Analyst","python","57326"
"Data Analyst","tableau","46554"
"Data Analyst","power bi","39468"
"Data Engineer","sql","113375"
"Data Engineer","python","108265"
"Data Engineer","aws","62174"
"Data Engineer","azure","60823"
"Data Engineer","spark","53789"
"Data Scientist","python","114016"
"Data Scientist","sql","79174"
"Data Scientist","r","59754"
"Data Scientist","sas","29642"
"Data Scientist","tableau","29513"
"Machine Learning Engineer","python","9685"
"Machine Learning Engineer","pytorch","4389"
"Machine Learning Engineer","tensorflow","4307"
"Machine Learning Engineer","aws","3780"
"Machine Learning Engineer","sql","3497"
"Senior Data Analyst","sql","17752"
"Senior Data Analyst","python","11083"
"Senior Data Analyst","tableau","10015"
"Senior Data Analyst","excel","8317"
"Senior Data Analyst","r","6252"
"Senior Data Engineer","python","28980"
"Senior Data Engineer","sql","28687"
"Senior Data Engineer","aws","19404"
"Senior Data Engineer","azure","16231"
"Senior Data Engineer","spark","16116"
"Senior Data Scientist","python","25996"
"Senior Data Scientist","sql","18661"
"Senior Data Scientist","r","12772"
"Senior Data Scientist","aws","7468"
"Senior Data Scientist","spark","6638"
"Software Engineer","python","15289"
"Software Engineer","sql","12375"
"Software Engineer","aws","10480"
"Software Engineer","java","9882"
"Software Engineer","azure","7128"
